"eps_vol","p","porosity","stress:0","stress:1","stress:2","stress:3","stress:4","stress:5","tot_stress:0","tot_stress:1","tot_stress:2","tot_stress:3","tot_stress:4","tot_stress:5","u_x","u_y","u_z","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,0,-2250,-2250,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,4.5,-2250,-2245.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,9,-2250,-2241,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,13.5,-2250,-2236.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,18,-2250,-2232,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,22.5,-2250,-2227.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,27,-2250,-2223,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,31.5,-2250,-2218.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,36,-2250,-2214,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,40.5,-2250,-2209.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,45,-2250,-2205,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,49.5,-2250,-2200.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,54,-2250,-2196,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,58.5,-2250,-2191.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,63,-2250,-2187,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,67.5,-2250,-2182.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,72,-2250,-2178,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,76.5,-2250,-2173.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,81,-2250,-2169,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,85.5,-2250,-2164.5,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,90,-2250,-2160,250
0,569.61,0.1506,-416.11,-829.98,-186.78,6.1433e-17,2.5623e-17,1.4507,-929.39,-1342,-699.43,6.1433e-17,2.5623e-17,2.5822,3.9171,8.7948,1.7614e-18,1,94.5,-2250,-2155.5,250
