"eps_vol","p","porosity","stress:0","stress:1","stress:2","stress:3","stress:4","stress:5","tot_stress:0","tot_stress:1","tot_stress:2","tot_stress:3","tot_stress:4","tot_stress:5","u_x","u_y","u_z","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,573.92,0.1506,-418.35,-838.37,-188.38,-1.36e-15,5.49e-16,-0.31779,-934.33,-1355.4,-704.91,-2.2132e-15,8.2333e-16,-0.49369,15.894,9.0744,2.9304e-18,1,0,-9000,-2250,250
0,573.92,0.1506,-418.35,-838.37,-188.38,-1.36e-15,5.49e-16,-0.31779,-934.33,-1355.4,-704.91,-2.2132e-15,8.2333e-16,-0.49369,15.894,9.0744,2.9304e-18,1,9,-8991,-2250,250
0,573.92,0.1506,-418.35,-838.37,-188.38,-1.36e-15,5.49e-16,-0.31779,-934.33,-1355.4,-704.91,-2.2132e-15,8.2333e-16,-0.49369,15.894,9.0744,2.9304e-18,1,18,-8982,-2250,250
0,573.92,0.1506,-418.35,-838.37,-188.38,-1.36e-15,5.49e-16,-0.31779,-934.33,-1355.4,-704.91,-2.2132e-15,8.2333e-16,-0.49369,15.894,9.0744,2.9304e-18,1,27,-8973,-2250,250
0,573.92,0.1506,-418.35,-838.37,-188.38,-1.36e-15,5.49e-16,-0.31779,-934.33,-1355.4,-704.91,-2.2132e-15,8.2333e-16,-0.49369,15.894,9.0744,2.9304e-18,1,36,-8964,-2250,250
0,573.92,0.1506,-418.35,-838.37,-188.38,-1.36e-15,5.49e-16,-0.31779,-934.33,-1355.4,-704.91,-2.2132e-15,8.2333e-16,-0.49369,15.894,9.0744,2.9304e-18,1,45,-8955,-2250,250
0,573.74,0.1506,-418.34,-838.24,-188.37,-2.0489e-15,-1.1289e-16,-0.045452,-934.08,-1355.2,-704.74,-3.3096e-15,-7.7866e-17,-0.078868,15.806,9.1945,-1.2289e-19,1,54,-8946,-2250,250
0,573.74,0.1506,-418.34,-838.24,-188.37,-2.0489e-15,-1.1289e-16,-0.045452,-934.08,-1355.2,-704.74,-3.3096e-15,-7.7866e-17,-0.078868,15.806,9.1945,-1.2289e-19,1,63,-8937,-2250,250
0,573.74,0.1506,-418.34,-838.24,-188.37,-2.0489e-15,-1.1289e-16,-0.045452,-934.08,-1355.2,-704.74,-3.3096e-15,-7.7866e-17,-0.078868,15.806,9.1945,-1.2289e-19,1,72,-8928,-2250,250
0,573.74,0.1506,-418.34,-838.24,-188.37,-2.0489e-15,-1.1289e-16,-0.045452,-934.08,-1355.2,-704.74,-3.3096e-15,-7.7866e-17,-0.078868,15.806,9.1945,-1.2289e-19,1,81,-8919,-2250,250
0,573.74,0.1506,-418.34,-838.24,-188.37,-2.0489e-15,-1.1289e-16,-0.045452,-934.08,-1355.2,-704.74,-3.3096e-15,-7.7866e-17,-0.078868,15.806,9.1945,-1.2289e-19,1,90,-8910,-2250,250
0,573.74,0.1506,-418.34,-838.24,-188.37,-2.0489e-15,-1.1289e-16,-0.045452,-934.08,-1355.2,-704.74,-3.3096e-15,-7.7866e-17,-0.078868,15.806,9.1945,-1.2289e-19,1,99,-8901,-2250,250
0,573.7,0.1506,-418.29,-838.21,-188.37,-1.6833e-15,-3.2207e-16,-0.017774,-933.98,-1355.2,-704.7,-2.5365e-15,-3.1722e-16,-0.021452,15.718,9.3278,5.2596e-17,1,108,-8892,-2250,250
0,573.7,0.1506,-418.29,-838.21,-188.37,-1.6833e-15,-3.2207e-16,-0.017774,-933.98,-1355.2,-704.7,-2.5365e-15,-3.1722e-16,-0.021452,15.718,9.3278,5.2596e-17,1,117,-8883,-2250,250
0,573.7,0.1506,-418.29,-838.21,-188.37,-1.6833e-15,-3.2207e-16,-0.017774,-933.98,-1355.2,-704.7,-2.5365e-15,-3.1722e-16,-0.021452,15.718,9.3278,5.2596e-17,1,126,-8874,-2250,250
0,573.7,0.1506,-418.29,-838.21,-188.37,-1.6833e-15,-3.2207e-16,-0.017774,-933.98,-1355.2,-704.7,-2.5365e-15,-3.1722e-16,-0.021452,15.718,9.3278,5.2596e-17,1,135,-8865,-2250,250
0,573.7,0.1506,-418.29,-838.21,-188.37,-1.6833e-15,-3.2207e-16,-0.017774,-933.98,-1355.2,-704.7,-2.5365e-15,-3.1722e-16,-0.021452,15.718,9.3278,5.2596e-17,1,144,-8856,-2250,250
0,573.75,0.1506,-418.28,-838.24,-188.39,-9.1812e-16,4.7498e-16,4.0409e-05,-934.03,-1355.2,-704.76,-1.3447e-15,4.7497e-16,-3.2162e-07,15.631,9.4662,-2.5817e-17,1,153,-8847,-2250,250
0,573.75,0.1506,-418.28,-838.24,-188.39,-9.1812e-16,4.7498e-16,4.0409e-05,-934.03,-1355.2,-704.76,-1.3447e-15,4.7497e-16,-3.2162e-07,15.631,9.4662,-2.5817e-17,1,162,-8838,-2250,250
0,573.75,0.1506,-418.28,-838.24,-188.39,-9.1812e-16,4.7498e-16,4.0409e-05,-934.03,-1355.2,-704.76,-1.3447e-15,4.7497e-16,-3.2162e-07,15.631,9.4662,-2.5817e-17,1,171,-8829,-2250,250
0,573.75,0.1506,-418.28,-838.24,-188.39,-9.1812e-16,4.7498e-16,4.0409e-05,-934.03,-1355.2,-704.76,-1.3447e-15,4.7497e-16,-3.2162e-07,15.631,9.4662,-2.5817e-17,1,180,-8820,-2250,250
0,573.75,0.1506,-418.28,-838.24,-188.39,-9.1812e-16,4.7498e-16,4.0409e-05,-934.03,-1355.2,-704.76,-1.3447e-15,4.7497e-16,-3.2162e-07,15.631,9.4662,-2.5817e-17,1,189,-8811,-2250,250
0,573.75,0.1506,-418.28,-838.24,-188.39,-9.1812e-16,4.7498e-16,4.0409e-05,-934.03,-1355.2,-704.76,-1.3447e-15,4.7497e-16,-3.2162e-07,15.631,9.4662,-2.5817e-17,1,198,-8802,-2250,250
0,573.73,0.1506,-418.2,-838.23,-188.37,-2.0451e-15,4.9096e-17,-0.034474,-933.92,-1355.2,-704.72,-3.3315e-15,6.0709e-17,-0.046148,15.541,9.6014,5.4027e-18,1,207,-8793,-2250,250
0,573.73,0.1506,-418.2,-838.23,-188.37,-2.0451e-15,4.9096e-17,-0.034474,-933.92,-1355.2,-704.72,-3.3315e-15,6.0709e-17,-0.046148,15.541,9.6014,5.4027e-18,1,216,-8784,-2250,250
0,573.73,0.1506,-418.2,-838.23,-188.37,-2.0451e-15,4.9096e-17,-0.034474,-933.92,-1355.2,-704.72,-3.3315e-15,6.0709e-17,-0.046148,15.541,9.6014,5.4027e-18,1,225,-8775,-2250,250
0,573.73,0.1506,-418.2,-838.23,-188.37,-2.0451e-15,4.9096e-17,-0.034474,-933.92,-1355.2,-704.72,-3.3315e-15,6.0709e-17,-0.046148,15.541,9.6014,5.4027e-18,1,234,-8766,-2250,250
0,573.73,0.1506,-418.2,-838.23,-188.37,-2.0451e-15,4.9096e-17,-0.034474,-933.92,-1355.2,-704.72,-3.3315e-15,6.0709e-17,-0.046148,15.541,9.6014,5.4027e-18,1,243,-8757,-2250,250
0,573.53,0.1506,-418.12,-838.08,-188.29,-2.3421e-15,4.6248e-16,-0.08803,-933.58,-1355,-704.47,-3.9721e-15,5.0904e-16,-0.15505,15.446,9.7298,3.1779e-17,1,252,-8748,-2250,250
0,573.53,0.1506,-418.12,-838.08,-188.29,-2.3421e-15,4.6248e-16,-0.08803,-933.58,-1355,-704.47,-3.9721e-15,5.0904e-16,-0.15505,15.446,9.7298,3.1779e-17,1,261,-8739,-2250,250
0,573.53,0.1506,-418.12,-838.08,-188.29,-2.3421e-15,4.6248e-16,-0.08803,-933.58,-1355,-704.47,-3.9721e-15,5.0904e-16,-0.15505,15.446,9.7298,3.1779e-17,1,270,-8730,-2250,250
0,573.53,0.1506,-418.12,-838.08,-188.29,-2.3421e-15,4.6248e-16,-0.08803,-933.58,-1355,-704.47,-3.9721e-15,5.0904e-16,-0.15505,15.446,9.7298,3.1779e-17,1,279,-8721,-2250,250
0,573.53,0.1506,-418.12,-838.08,-188.29,-2.3421e-15,4.6248e-16,-0.08803,-933.58,-1355,-704.47,-3.9721e-15,5.0904e-16,-0.15505,15.446,9.7298,3.1779e-17,1,288,-8712,-2250,250
