// N_ROWS	N_COLS	N_NON_ZEROS	N_BLOCK_SIZE
10	10	26	1
// Rows indexes[1..n_rows] (with out 0)
2
4
7
10
13
16
19
22
24
26
// END of Rows indexes
// Values n_non_zeros elements
//COLUMN	VALUE
// ROW 0
0	0.0000000000
2	0.0000000000
// ROW 1
1	1.0000000000
3	10.0000000000
// ROW 2
0	-20.0000000000
2	2.0000000000
4	20.0000000000
// ROW 3
1	-30.0000000000
3	3.0000000000
5	30.0000000000
// ROW 4
2	-40.0000000000
4	4.0000000000
6	40.0000000000
// ROW 5
3	-50.0000000000
5	5.0000000000
7	50.0000000000
// ROW 6
4	-60.0000000000
6	6.0000000000
8	60.0000000000
// ROW 7
5	-70.0000000000
7	7.0000000000
9	70.0000000000
// ROW 8
6	-80.0000000000
8	8.0000000000
// ROW 9
7	-90.0000000000
9	9.0000000000
// END OF FILE
